학교구분,학교코드,학교명,본분교,지역,설립구분,학교상태,주소,경도,위도
대학,200,한성대학교,본교,서울,사립,기존,서울특별시 성북구 삼선교로16길 116 ,127.0103932,37.58323279
대학,201,한세대학교,본교,경기,사립,기존,경기도 군포시 한세로 30 ,126.9539887,37.344276
대학,202,한신대학교,본교,경기,사립,기존,경기도 오산시 한신대길 137 ,127.0274591,37.19259143
대학,203,한양대학교,본교,서울,사립,기존,서울특별시 성동구 왕십리로 222 ,127.0466155,37.5545003
대학,204,한양대학교(ERICA),분교,경기,사립,기존,경기도 안산시 상록구 한양대학로 55 ,126.8343956,37.29800915
대학,205,서울한영대학교,본교,서울,사립,기존,서울특별시 구로구 경인로 290-42 ,126.8512488,37.4965625
대학,206,한일장신대학교,본교,전북,사립,기존,전라북도 완주군 상관면 왜목로 726-15 ,127.205869,35.76428489
대학,207,협성대학교,본교,경기,사립,기존,경기도 화성시 봉담읍 최루백로 72 ,126.9536178,37.21325566
대학,208,호남대학교,본교,광주,사립,기존,광주광역시 광산구 호남대길 120 ,126.7650387,35.14996891
대학,209,호남신학대학교,본교,광주,사립,기존,광주광역시 남구 제중로 77 ,126.9105696,35.14011354
대학,211,호서대학교,본교,충남,사립,기존,충청남도 아산시 배방읍 호서로79번길 20 ,127.0771158,36.73445653
대학,212,홍익대학교,본교,서울,사립,기존,서울특별시 마포구 와우산로 94 ,126.924935,37.55261157
대학,215,가톨릭꽃동네대학교,본교,충북,사립,기존,충청북도 청주시 서원구 현도면 상삼길 133 ,127.4029877,36.52197006
대학,216,남부대학교,본교,광주,사립,기존,광주광역시 광산구 남부대길 1 ,126.8422647,35.20706875
대학,218,예원예술대학교,본교,전북,사립,기존,전라북도 임실군 신평면 창인로 117 ,127.2714684,35.6477641
대학,219,예원예술대학교,제2캠퍼스,경기,사립,기존,경기도 양주시 은현면 예원대학로 56 ,127.0370846,37.84667198
대학,221,목포가톨릭대학교,본교,전남,사립,기존,전라남도 목포시 영산로 697 ,126.4198958,34.82728064
대학,222,부산장신대학교,본교,경남,사립,기존,경상남도 김해시 김해대로 1894-68 ,128.8615649,35.25643913
대학,224,금강대학교,본교,충남,사립,기존,충청남도 논산시 상월면 상월로 522 ,127.1897049,36.306823
대학,228,예수대학교,본교,전북,사립,기존,전라북도 전주시 완산구 서원로 383 ,127.1347975,35.81609108
대학,229,한국국제대학교,본교,경남,사립,기존,경상남도 진주시 문산읍 동부로 965 ,128.1999265,35.17580938
대학,231,광주대학교,본교,광주,사립,기존,광주광역시 남구 효덕로 277 ,126.8961394,35.10598538
대학,233,신경대학교,본교,경기,사립,기존,경기도 화성시 남양읍 남양중앙로 400-5 ,126.8395153,37.20273989
대학,235,동명대학교,본교,부산,사립,기존,부산광역시 남구 신선로 428 ,129.1013656,35.12469194
대학,236,영산대학교,본교,경남,사립,기존,경상남도 양산시 주남로 288 ,129.1446559,35.4283532
대학,237,영산대학교,제2캠퍼스,부산,사립,기존,부산광역시 해운대구 반송순환로 142 ,129.1590563,35.22415474
대학,238,대전신학대학교,본교,대전,사립,기존,대전광역시 대덕구 한남로 41 ,127.4240213,36.34955016
대학,239,중원대학교,본교,충북,사립,기존,충청북도 괴산군 괴산읍 문무로 85 ,127.7975716,36.81873738
대학,240,우송대학교,본교,대전,사립,기존,대전광역시 동구 동대전로 171 ,127.4457548,36.33569212
대학,241,김천대학교,본교,경북,사립,기존,경상북도 김천시 대학로 214 ,128.0817309,36.1399534
대학,243,송원대학교,본교,광주,사립,기존,광주광역시 남구 송암로 73 ,126.8732668,35.10815395
대학,244,경운대학교,본교,경북,사립,기존,경상북도 구미시 산동면 강동로 730 ,128.4681291,36.17159619
대학,245,남서울대학교,본교,충남,사립,기존,충청남도 천안시 서북구 성환읍 대학로 91 ,127.1436115,36.91091302
