학교구분,학교코드,학교명,본분교,지역,설립구분,학교상태,주소
대학,72,가톨릭관동대학교,본교,강원,사립,기존,강원도 강릉시 범일로579번길 24 
대학,73,광신대학교,본교,광주,사립,기존,광주광역시 북구 양산택지소로 36 
대학,74,광운대학교,본교,서울,사립,기존,서울특별시 노원구 광운로 20 
대학,75,광주가톨릭대학교,본교,전남,사립,기존,전라남도 나주시 남평읍 중남길 12-25 
대학,76,광주여자대학교,본교,광주,사립,기존,광주광역시 광산구 광주여대길 40 
대학,78,국민대학교,본교,서울,사립,기존,서울특별시 성북구 정릉로 77 
대학,79,케이씨대학교,본교,서울,사립,기존,서울특별시 강서구 까치산로24길 47 
대학,80,극동대학교,본교,충북,사립,기존,충청북도 음성군 감곡면 대학길 76-32 
대학,81,나사렛대학교,본교,충남,사립,기존,충청남도 천안시 서북구 월봉로 48 
대학,82,단국대학교,본교,경기,사립,기존,경기도 용인시 수지구 죽전로 152 
대학,84,대구대학교,본교,경북,사립,기존,경상북도 경산시 진량읍 대구대로 201 
대학,87,대구예술대학교,본교,경북,사립,기존,경상북도 칠곡군 가산면 다부거문1길 202 
대학,88,대구가톨릭대학교,본교,경북,사립,기존,경상북도 경산시 하양읍 하양로 13-13 
대학,92,세한대학교,본교,전남,사립,기존,전라남도 영암군 삼호읍 녹색로 1113 
대학,93,대신대학교,본교,경북,사립,기존,경상북도 경산시 경청로222길 33 
대학,94,대전가톨릭대학교,본교,세종,사립,기존,세종특별자치시 전의면 가톨릭대학로 30 
대학,95,대전대학교,본교,대전,사립,기존,대전광역시 동구 대학로 62 
대학,97,대진대학교,본교,경기,사립,기존,경기도 포천시 호국로 1007 
대학,98,서울기독대학교,본교,서울,사립,기존,서울특별시 은평구 갈현로4길 26-2 
대학,99,덕성여자대학교,본교,서울,사립,기존,서울특별시 도봉구 삼양로144길 33 
대학,100,동국대학교,본교,서울,사립,기존,서울특별시 중구 필동로1길 30 
대학,101,동국대학교(경주),분교,경북,사립,기존,경상북도 경주시 동대로 123 
대학,102,동덕여자대학교,본교,서울,사립,기존,서울특별시 성북구 화랑로13길 60 
대학,103,동서대학교,본교,부산,사립,기존,부산광역시 사상구 주례로 47 
대학,104,동신대학교,본교,전남,사립,기존,전라남도 나주시 동신대길 67 
대학,105,동아대학교,본교,부산,사립,기존,부산광역시 사하구 낙동대로550번길 37 
대학,106,동양대학교,본교,경북,사립,기존,경상북도 영주시 풍기읍 동양대로 145 
대학,107,동의대학교,본교,부산,사립,기존,부산광역시 부산진구 엄광로 176 
대학,108,루터대학교,본교,경기,사립,기존,경기도 용인시 기흥구 금화로82번길 20 
